model,id,title,authors,
book.book,283,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,
book.book,284,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,
book.book,285,The Alchemist,Paulo Coelho/Alan R. Clarke/–zdemirnce,
book.book,286,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,
book.book,287,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,
book.book,288,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,
book.book,289,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,
book.book,290,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,
book.book,291,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mbius,
book.book,292,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,
book.book,293,Pompeii,Robert   Harris,
book.book,294,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,
book.book,295,Of Mice and Men,John Steinbeck,
book.book,296,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,
book.book,297,The Westing Game,Ellen Raskin,
book.book,298,The Egypt Game,Zilpha Keatley Snyder,
book.book,299,Memoirs of a Geisha,Arthur Golden,
book.book,300,Memoirs of a Geisha,Arthur Golden,
book.book,301,Memoirs of a Geisha,Arthur Golden,
book.book,302,Memoirs of a Geisha: A Portrait of the Film,David James/Peggy Mulloy/Rob Marshall/Arthur Golden,
book.book,303,Memoirs of a Geisha,Arthur Golden,
book.book,304,Geisha of Gion,Mineko Iwasaki/Rande Brown,
book.book,305,Love As A Foreign Language #5,J. Torres/Eric  Kim,
book.book,306,Jungle Love,Margaret Johnson/Philip Prowse,
book.book,307,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,
book.book,308,Angels & Demons (Robert Langdon  #1),Dan Brown,
book.book,309,ngeles y demonios (Robert Langdon  #1),Dan Brown,
book.book,310,Angeles & Demonios,Dan Brown/RaAmundaray,
book.book,311,The Da Vinci Code (Robert Langdon  #2),Dan Brown,
book.book,312,The Da Vinci Code,Dan Brown,
book.book,313,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,
book.book,314,Deception Point,Dan Brown,
book.book,315,Deception Point,Dan Brown,
book.book,316,Deception Point,Dan Brown,
book.book,317,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,
book.book,318,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,Thomas J. Stanley/William D. Danko,
book.book,319,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,
book.book,320,Think and Grow Rich,Napoleon Hill,
book.book,321,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,
book.book,322,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,
book.book,323,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,
book.book,324,The Richest Man in Babylon,George S. Clason,
book.book,325,The Richest Man in Babylon,George S. Clason,
book.book,326,Shibumi,Trevanian/Gisela Stege,
book.book,327,1776,David McCullough,
book.book,328,1776,Peter  Stone/Sherman Edwards,
book.book,329,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,
book.book,330,The Good Earth (House of Earth  #1),Pearl S. Buck,
book.book,331,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,
book.book,332,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,
book.book,333,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,
book.book,334,Snow Flower and the Secret Fan,Lisa See,
book.book,335,The Broker,John Grisham,
book.book,336,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,
book.book,337,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,
